,,,,,,,Misc,,,Approx Val,,,Passing,,,,,Rushing,,,Receiving,,,,,,,
Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,CarAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk,College/Univ,
1,1,ATL,Michael Vick,QB,21,2015,0,4,7,92,60,143,1807,3217,22464,133,88,873,6109,36,2,1,0,,,,Virginia Tech,College Stats
1,2,ARI,Leonard Davis,T,23,2012,0,3,10,66,27,171,0,0,0,0,0,0,0,0,0,0,0,,,,Texas,College Stats
1,3,CLE,Gerard Warren,DT,23,2011,0,0,9,49,25,163,0,0,0,0,0,0,0,0,0,0,0,253,,36.5,Florida,
1,4,CIN,Justin Smith,DE,21,2014,1,5,14,101,27,221,0,0,0,0,0,0,0,0,0,0,0,615,3,87,Missouri,
1,5,SDG,LaDainian Tomlinson HOF,RB,22,2011,3,5,10,129,121,170,8,12,143,7,0,3174,13684,145,624,4772,17,,,,TCU,College Stats
1,6,NWE,Richard Seymour,DE,21,2012,3,7,11,91,73,164,0,0,0,0,0,0,0,0,0,0,0,326,2,57.5,Georgia,
1,7,SFO,Andre Carter,DE,22,2013,0,1,10,59,22,184,0,0,0,0,0,0,0,0,0,0,0,388,,80.5,California,College Stats
1,8,CHI,David Terrell,WR,22,2005,0,0,1,11,11,54,0,0,0,0,0,4,14,0,128,1602,9,,,,Michigan,College Stats
1,9,SEA,Koren Robinson,WR,21,2008,0,1,4,35,30,96,0,0,0,0,0,23,115,1,294,4244,16,1,,,North Carolina St.,College Stats
1,10,GNB,Jamal Reynolds,DE,22,2003,0,0,0,3,3,18,0,0,0,0,0,0,0,0,0,0,0,14,,3,Florida St.,College Stats
1,11,CAR,Dan Morgan,LB,22,2007,0,1,5,30,30,59,0,0,0,0,0,0,0,0,0,0,0,284,5,7,Miami (FL),College Stats
1,12,STL,Damione Lewis,DT,23,2010,0,0,3,32,13,141,0,0,0,0,0,0,0,0,0,0,0,201,,23.5,Miami (FL),
1,13,JAX,Marcus Stroud,DT,23,2010,0,3,9,67,50,146,0,0,0,0,0,0,0,0,0,0,0,314,,29.5,Georgia,
1,14,TAM,Kenyatta Walker,T,22,2006,0,0,5,29,29,75,0,0,0,0,0,0,0,0,0,0,0,,,,Florida,
1,15,WAS,Rod Gardner,WR,23,2006,0,0,4,25,23,91,2,7,46,2,0,5,24,0,242,3165,23,5,,,Clemson,College Stats
1,16,NYJ,Santana Moss,WR,22,2014,0,1,9,72,23,197,0,0,0,0,0,51,287,0,732,10283,66,,,,Miami (FL),College Stats
1,17,SEA,Steve Hutchinson HOF,G,23,2012,5,7,11,94,43,169,0,0,0,0,0,0,0,0,0,0,0,,,,Michigan,College Stats
1,18,DET,Jeff Backus,T,23,2012,0,0,12,61,61,191,0,0,0,0,0,0,0,0,0,0,0,,,,Michigan,
1,19,PIT,Casey Hampton,NT,24,2012,0,5,11,73,73,173,0,0,0,0,0,0,0,0,0,0,0,231,,9,Texas,College Stats
1,20,STL,Adam Archuleta,DB,23,2007,0,0,7,31,26,103,0,0,0,0,0,0,0,0,0,0,0,453,4,18,Arizona St.,College Stats
1,21,BUF,Nate Clements,DB,21,2012,0,1,11,61,39,180,0,0,0,0,0,0,0,0,0,0,0,669,36,4.5,Ohio St.,College Stats
1,22,NYG,Will Allen,DB,23,2011,0,0,8,41,24,140,0,0,0,0,0,0,0,0,0,0,0,460,15,5,Syracuse,College Stats
1,23,NOR,Deuce McAllister,RB,22,2008,0,2,4,55,55,97,1,4,12,1,0,1429,6096,49,234,1720,5,4,,,Mississippi,College Stats
1,24,DEN,Willie Middlebrooks,DB,22,2005,0,0,0,4,4,56,0,0,0,0,0,0,0,0,0,0,0,63,,1,Minnesota,College Stats
1,25,PHI,Freddie Mitchell,WR,22,2004,0,0,1,13,13,63,1,3,25,1,0,2,-4,0,90,1263,5,4,,,UCLA,College Stats
1,26,MIA,Jamar Fletcher,DB,22,2008,0,0,0,9,4,105,0,0,0,0,0,0,0,0,0,0,0,170,7,1,Wisconsin,College Stats
1,27,MIN,Michael Bennett,RB,23,2010,0,1,3,34,29,107,0,0,0,0,0,842,3703,13,159,1294,6,11,,,Wisconsin,College Stats
1,28,OAK,Derrick Gibson,DB,22,2006,0,0,2,13,13,69,0,0,0,0,0,0,0,0,0,0,0,161,3,2,Florida St.,College Stats
1,29,STL,Ryan Pickett,DT,21,2014,0,0,13,58,22,207,0,0,0,0,0,0,0,0,0,0,0,386,,9.5,Ohio St.,
1,30,IND,Reggie Wayne,WR,22,2014,1,6,13,116,116,211,0,1,0,0,1,4,0,0,1070,14345,82,,,,Miami (FL),College Stats
1,31,BAL,Todd Heap,TE,21,2012,0,2,8,43,42,145,0,1,0,0,0,8,61,0,499,5869,42,1,,,Arizona St.,College Stats
2,32,SDG,Drew Brees,QB,22,2020,1,13,19,167,27,287,7142,10551,80358,571,243,498,752,25,8,74,1,,,,Purdue,College Stats
2,33,CLE,Quincy Morgan,WR,23,2006,0,0,4,20,17,86,0,0,0,0,0,10,53,0,164,2466,17,1,,,Kansas St.,College Stats
2,34,ARI,Kyle Vanden Bosch,DE,22,2012,0,3,9,58,7,152,0,0,0,0,0,0,0,0,0,0,0,336,,58,Nebraska,
2,35,ATL,Alge Crumpler,TE,23,2010,0,4,10,41,38,155,0,0,0,0,0,0,0,0,373,4743,39,2,,,North Carolina,College Stats
2,36,CIN,Chad Johnson,WR,23,2011,2,6,9,85,84,166,0,1,0,0,0,24,175,0,766,11059,67,,,,Oregon St.,College Stats
2,37,IND,Idrees Bashir,DB,22,2007,0,0,4,19,18,71,0,0,0,0,0,0,0,0,0,0,0,181,6,,Memphis,College Stats
2,38,CHI,Anthony Thomas,RB,23,2007,0,0,3,27,22,87,0,0,0,0,0,1044,3891,23,113,756,1,2,,,Michigan,College Stats
2,39,PIT,Kendrell Bell,LB,23,2007,0,1,5,40,29,90,0,0,0,0,0,0,0,0,0,0,0,274,1,20.5,Georgia,College Stats
2,40,SEA,Ken Lucas,DB,22,2009,0,0,7,46,20,138,0,0,0,0,0,0,0,0,0,0,0,461,25,,Mississippi,College Stats
2,41,GNB,Robert Ferguson,WR,21,2008,0,0,3,18,15,83,0,0,0,0,0,1,-8,0,151,1993,13,31,,,Texas A&M,College Stats
2,42,STL,Tommy Polley,LB,23,2005,0,0,5,30,23,73,0,0,0,0,0,0,0,0,0,0,0,311,4,6,Florida St.,College Stats
2,43,JAX,Maurice Williams,T,22,2009,0,0,6,47,47,105,0,0,0,0,0,0,0,0,0,0,0,,,,Michigan,
2,44,CAR,Kris Jenkins,DT,22,2010,2,4,6,68,54,108,0,0,0,0,0,0,0,0,0,0,0,220,,24,Maryland,
2,45,WAS,Fred Smoot,DB,22,2009,0,0,7,40,34,129,0,0,0,0,0,0,0,0,0,0,0,390,21,,Mississippi St.,College Stats
2,46,BUF,Aaron Schobel,DE,24,2009,0,2,8,62,62,133,0,0,0,0,0,0,0,0,0,0,0,334,3,78,TCU,College Stats
2,47,SFO,Jamie Winborn,LB,22,2010,0,0,2,18,12,100,0,0,0,0,0,0,0,0,0,0,0,281,3,10,Vanderbilt,
2,48,NWE,Matt Light,T,23,2011,1,3,10,89,89,155,0,0,0,0,0,0,0,0,0,0,0,,,,Purdue,College Stats
2,49,NYJ,LaMont Jordan,RB,22,2009,0,0,2,30,11,114,0,2,0,0,1,897,3734,28,158,1301,3,2,,,Maryland,College Stats
2,50,DET,Dominic Raiola,C,22,2014,0,0,13,64,64,219,0,0,0,0,0,0,0,0,0,0,0,2,,,Nebraska,College Stats
2,51,DEN,Paul Toviessi,DE,,,0,0,0,,,,,,,,,,,,,,,,,,Marshall,College Stats
2,52,MIA,Chris Chambers,WR,23,2010,0,1,8,58,41,153,0,0,0,0,0,44,373,0,540,7648,58,2,,,Wisconsin,College Stats
2,53,DAL,Quincy Carter,QB,23,2004,0,0,2,16,15,38,542,960,6337,32,37,152,518,3,0,0,0,,,,Georgia,College Stats
2,54,ARI,Michael Stone,DB,23,2006,0,0,0,4,2,52,0,0,0,0,0,0,0,0,0,0,0,62,,,Memphis,College Stats
2,55,PHI,Quinton Caver,LB,23,2005,0,0,0,5,1,53,0,0,0,0,0,0,0,0,0,0,0,56,,,Arkansas,College Stats
2,56,DAL,Tony Dixon,DB,22,2004,0,0,0,9,9,56,0,0,0,0,0,0,0,0,0,0,0,107,1,6,Alabama,College Stats
2,57,MIN,Willie Howard,DE,23,2001,0,0,0,1,1,8,0,0,0,0,0,0,0,0,0,0,0,10,,,Stanford,College Stats
2,58,BUF,Travis Henry,RB,22,2007,0,1,4,41,27,90,0,1,0,0,1,1488,6086,38,141,951,2,1,,,Tennessee,College Stats
2,59,OAK,Marques Tuiasosopo,QB,22,2008,0,0,0,1,1,13,49,90,554,2,7,17,79,0,0,0,0,,,,Washington,College Stats
2,60,TEN,Andre Dyson,DB,22,2007,0,0,5,31,21,96,0,0,0,0,0,0,0,0,0,0,0,282,22,1,Utah,College Stats
2,61,DET,Shaun Rogers,DT,22,2013,0,3,8,57,40,163,0,0,0,0,0,0,0,0,0,0,0,374,1,37.5,Texas,
2,62,BAL,Gary Baxter,DB,22,2006,0,0,3,20,16,62,0,0,0,0,0,0,0,0,0,0,0,252,8,3,Baylor,
3,63,PHI,Derrick Burgess,DE,23,2010,0,2,4,40,8,102,0,0,0,0,0,0,0,0,0,0,0,215,,52,Mississippi,College Stats
3,64,ARI,Adrian Wilson,DB,21,2012,1,5,11,68,68,181,0,0,0,0,0,0,0,0,0,0,0,730,27,25.5,North Carolina St.,College Stats
3,65,CLE,James Jackson,RB,25,2005,0,0,1,9,9,52,0,0,0,0,0,325,1082,5,32,232,0,4,,,Miami (FL),College Stats
3,66,CIN,Sean Brewer,TE,23,2003,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,1,,,San Jose St.,College Stats
3,67,SDG,Tay Cody,DB,23,2003,0,0,1,4,4,19,0,0,0,0,0,0,0,0,0,0,0,65,2,,Florida St.,College Stats
3,68,CHI,Mike Gandy,T,22,2009,0,0,7,42,8,108,0,0,0,0,0,0,0,0,0,0,0,,,,Notre Dame,
3,69,MIN,Eric Kelly,DB,24,2003,0,0,2,9,9,48,0,0,0,0,0,0,0,0,0,0,0,136,3,,Kentucky,College Stats
3,70,NOR,Sedrick Hodge,LB,22,2005,0,0,3,17,17,63,0,0,0,0,0,0,0,0,0,0,0,164,,1,North Carolina,
3,71,GNB,Bhawoh Jue,DB,22,2007,0,0,1,14,8,79,0,0,0,0,0,0,0,0,0,0,0,144,6,1.5,Penn St.,College Stats
3,72,GNB,Torrance Marshall,LB,24,2004,0,0,0,7,7,51,0,0,0,0,0,0,0,0,0,0,0,60,,1,Oklahoma,College Stats
3,73,JAX,Eric Westmoreland,LB,24,2004,0,0,0,5,4,44,0,0,0,0,0,0,0,0,0,0,0,63,,2,Tennessee,College Stats
3,74,CAR,Steve Smith Sr.,WR,22,2016,2,5,14,102,92,219,0,1,0,0,0,57,387,2,1031,14731,81,,,,Utah,College Stats
3,75,KAN,Eric Downing,DT,22,2004,0,0,1,7,7,45,0,0,0,0,0,0,0,0,0,0,0,36,,2,Syracuse,
3,76,BUF,Ron Edwards,DT,22,2012,0,0,6,37,10,139,0,0,0,0,0,0,0,0,0,0,0,146,,16.5,Texas A&M,
3,77,KAN,Snoop Minnis,WR,24,2002,0,0,1,5,5,15,0,0,0,0,0,0,0,0,34,515,1,,,,Florida St.,College Stats
3,78,NYG,Will Peterson,DB,22,2010,0,0,3,23,16,97,0,0,0,0,0,0,0,0,0,0,0,75,8,,Western Illinois,
3,79,NYJ,Kareem McKenzie,T,22,2011,0,0,10,62,24,161,0,0,0,0,0,0,0,0,0,0,0,,,,Penn St.,
3,80,SFO,Kevan Barlow,RB,22,2006,0,0,2,36,33,84,0,0,0,0,0,1022,3984,30,144,1164,3,,,,Pittsburgh,College Stats
3,81,NOR,Kenny Smith,DT,23,2009,0,0,1,7,7,36,0,0,0,0,0,0,0,0,0,0,0,58,,4.5,Alabama,
3,82,SEA,Heath Evans,FB,22,2010,0,0,0,8,2,143,0,0,0,0,0,164,579,4,57,439,4,23,,,Auburn,College Stats
3,83,STL,Brian Allen,LB,23,2004,0,0,0,8,0,47,0,0,0,0,0,0,0,0,0,0,0,74,1,1,Florida St.,College Stats
3,84,TAM,Dwight Smith,DB,23,2008,0,0,5,34,18,117,0,0,0,0,0,0,0,0,0,0,0,405,22,2,Akron,College Stats
3,85,MIA,Travis Minor,RB,22,2008,0,0,0,10,10,118,0,0,0,0,0,307,1230,8,67,474,1,48,,,Florida St.,College Stats
3,86,NWE,Brock Williams,DB,22,2004,0,0,0,1,,12,0,0,0,0,0,0,0,0,0,0,0,10,,,Notre Dame,College Stats
3,87,DEN,Reggie Hayward,DE,22,2009,0,0,3,32,13,92,0,0,0,0,0,0,0,0,0,0,0,144,1,39.5,Iowa St.,
3,88,MIA,Morlon Greenwood,LB,23,2008,0,0,8,39,21,125,0,0,0,0,0,0,0,0,0,0,0,471,2,7,Syracuse,
3,89,OAK,DeLawrence Grant,DE,21,2005,0,0,2,12,12,49,0,0,0,0,0,0,0,0,0,0,0,45,,7,Oregon St.,College Stats
3,90,TEN,Shad Meier,TE,23,2005,0,0,0,3,3,53,0,0,0,0,0,0,0,0,42,334,3,2,,,Kansas St.,College Stats
3,91,IND,Cory Bird,DB,23,2004,0,0,0,6,6,45,0,0,0,0,0,0,0,0,0,0,0,90,,0.5,Virginia Tech,College Stats
3,92,BAL,Casey Rabach,C,23,2010,0,0,7,44,7,137,0,0,0,0,0,0,0,0,0,0,0,,,,Wisconsin,
3,93,DAL,Willie Blade,DT,22,2004,0,0,1,8,7,20,0,0,0,0,0,0,0,0,0,0,0,17,,1,Mississippi St.,
3,94,JAX,James Boyd,DB,23,2002,0,0,0,2,2,26,0,0,0,0,0,0,0,0,0,0,0,11,,,Penn St.,College Stats
3,95,BUF,Jonas Jennings,T,23,2008,0,0,5,29,21,75,0,0,0,0,0,0,0,0,0,0,0,,,,Georgia,
4,96,NWE,Kenyatta Jones,T,22,2004,0,0,1,7,6,21,0,0,0,0,0,0,0,0,0,0,0,,,,South Florida,
4,97,CLE,Anthony Henry,DB,24,2009,0,0,5,38,19,132,0,0,0,0,0,0,0,0,0,0,0,429,31,2,South Florida,College Stats
4,98,ARI,Bill Gramatica,K,23,2004,0,0,0,7,7,34,0,0,0,0,0,0,0,0,0,0,0,2,,,South Florida,College Stats
4,99,ATL,Roberto Garza,G,22,2014,0,0,11,61,11,206,0,0,0,0,0,0,0,0,0,0,0,,,,Texas A&M-Kingsville,
4,100,CIN,Rudi Johnson,RB,21,2008,0,1,5,46,45,95,0,0,0,0,0,1517,5979,49,113,676,2,,,,Auburn,College Stats
4,101,NYJ,Jamie Henderson,DB,22,2003,0,0,0,3,3,32,0,0,0,0,0,0,0,0,0,0,0,41,1,,Georgia,College Stats
4,102,ATL,Matt Stewart,LB,22,2006,0,0,4,26,19,93,0,0,0,0,0,0,0,0,0,0,0,243,1,8,Vanderbilt,College Stats
4,103,CHI,Karon Riley,LB,23,2004,0,0,0,1,0,25,0,0,0,0,0,0,0,0,0,0,0,13,,,Minnesota,College Stats
4,104,SEA,Orlando Huff,LB,23,2006,0,0,3,22,12,87,0,0,0,0,0,0,0,0,0,0,0,222,2,3,Fresno St.,College Stats
4,105,GNB,Bill Ferrario,G,22,2002,0,0,0,1,1,16,0,0,0,0,0,0,0,0,0,0,0,,,,Wisconsin,
4,106,CAR,Chris Weinke,QB,29,2007,0,0,1,9,9,29,386,709,3904,15,26,54,148,6,0,0,0,,,,Florida St.,College Stats
4,107,KAN,Monty Beisel,LB,23,2009,0,0,0,13,5,119,0,0,0,0,0,0,0,0,0,0,0,200,2,4.5,Kansas St.,College Stats
4,108,KAN,George Layne,RB,22,2004,0,0,0,0,,11,0,0,0,0,0,3,32,0,4,20,0,6,,,TCU,College Stats
4,109,WAS,Sage Rosenfels,QB,23,2010,0,0,0,13,,44,351,562,4156,30,29,48,95,1,0,0,0,1,,,Iowa St.,College Stats
4,110,BUF,Brandon Spoon,LB,23,2001,0,0,1,5,5,14,0,0,0,0,0,0,0,0,0,0,0,45,2,,North Carolina,
4,111,PIT,Mathias Nkwenti,T,23,2003,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,,,Temple,
4,112,SDG,Carlos Polk,LB,24,2008,0,0,0,7,7,74,0,0,0,0,0,0,0,0,0,0,0,101,,4,Nebraska,College Stats
4,113,DEN,Ben Hamilton,G,24,2010,0,0,7,54,52,118,0,0,0,0,0,0,0,0,0,0,0,1,,,Minnesota,College Stats
4,114,NYG,Cedric Scott,DE,23,2002,0,0,0,1,1,13,0,0,0,0,0,0,0,0,0,0,0,4,,,Southern Miss,College Stats
4,115,NOR,Moran Norris,FB,23,2011,0,0,4,1,0,140,0,0,0,0,0,28,67,1,38,198,3,19,,,Kansas,College Stats
